player,team,season,matches,runs,balls_faced,fours,sixes,wickets,runs_conceded,balls_bowled,catches,fantasy_points,wins,batting_sr,bowling_econ
AM Rahane,India,2014,7,259,304,25,7,0,0,0,6,505,5,85.19736842105263,0.0
AM Rahane,India,2014/15,19,638,826,66,7,0,0,0,9,1127,13,77.23970944309927,0.0
AM Rahane,India,2015,4,121,183,14,0,0,0,0,5,241,3,66.12021857923497,0.0
AM Rahane,India,2015/16,8,388,413,34,5,0,0,0,5,696,2,93.94673123486683,0.0
AM Rahane,India,2016/17,6,144,222,16,3,0,0,0,5,284,3,64.86486486486487,0.0
AM Rahane,India,2017,6,341,461,34,3,0,0,0,1,583,4,73.96963123644251,0.0
AM Rahane,India,2017/18,11,384,492,38,3,0,0,0,5,670,9,78.04878048780488,0.0
AM Samad,Canada,2002/03,2,12,20,2,0,0,0,0,2,36,1,60.0,0.0
AM Samad,Canada,2006/07,7,171,291,16,1,2,71,57,3,345,3,58.76288659793815,7.473684210526316
AM Samad,Canada,2008,1,13,25,1,0,0,10,12,1,29,0,52.0,5.0
AM Samad,Canada,2009,1,30,46,4,0,0,0,0,0,50,1,65.21739130434783,0.0
AM Tribe,Jersey,2023,4,233,310,16,6,0,18,13,2,421,1,75.16129032258064,8.307692307692308
AN Cook,England,2006,2,80,94,12,0,0,0,0,0,138,0,85.1063829787234,0.0
AN Cook,England,2007,9,248,348,30,0,0,0,0,3,438,4,71.26436781609196,0.0
AN Cook,England,2007/08,9,339,548,31,0,0,0,0,4,549,3,61.861313868613145,0.0
AN Cook,England,2008,2,24,39,3,0,0,0,0,1,44,0,61.53846153846154,0.0
AN Cook,England,2008/09,1,11,18,1,0,0,0,0,0,15,0,61.111111111111114,0.0
